ano,mes,estado,casos,mortes,temperatura,precipitacao,data_criacao,data_atualizacao
2014,Agosto,RR,0,0,26.5,153.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,RS,0,0,14.01,2979.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,SC,0,0,15.07,1704.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,SE,2,1,21.6,286.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,SP,1371,1,17.99,554.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,TO,0,0,25.28,9.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,AC,0,0,10.35,294.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,AL,1,0,23.74,565.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,AM,0,0,24.69,802.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,AP,0,0,27.19,47.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,BA,1,0,23.84,1168.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,CE,1,7,23.91,105.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,DF,0,0,23.48,22.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,ES,0,2,21.94,250.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,GO,2,7,25.21,825.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,MA,0,2,28.0,244.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,MG,2,1,21.78,941.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,MS,0,0,23.69,2690.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,MT,0,0,24.51,2160.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,PA,0,0,23.83,668.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,PB,0,1,21.31,743.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,PE,1,1,24.23,555.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,PI,2,0,27.28,52.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,PR,1,0,17.96,4022.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,RJ,3,0,20.85,719.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,RN,1,0,23.54,237.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,RO,0,0,27.35,380.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,RR,0,1,28.86,28.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,RS,0,0,15.66,8057.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,SC,0,0,16.97,4234.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,SE,0,1,23.82,227.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,SP,1111,2,19.74,2610.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Setembro,TO,0,0,24.38,475.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,AC,0,1,8.7,289.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,AL,0,0,20.22,915.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,AM,0,0,24.54,2888.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,AP,0,0,27.46,65.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,BA,0,1,24.44,1661.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,CE,2,6,24.36,172.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,DF,0,0,20.44,273.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,ES,0,1,22.35,1178.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,GO,0,6,25.27,1249.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,MA,1,0,26.15,499.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,MG,2,2,23.25,3698.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,MS,2,0,24.69,1386.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,MT,0,0,23.07,2305.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,PA,0,2,24.5,1284.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,PB,1,1,23.17,295.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,PE,0,2,25.0,725.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,PI,0,0,26.9,365.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,PR,1,0,21.28,1089.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,RJ,0,2,21.56,1229.0,2025-07-22 22:31:01,2025-07-22 22:31:01
