Ano;Mês;UF;Precipitação Total;Temperatura Média
2015;Outubro;Mato Grosso;2277.4;23.87
2015;Novembro;Mato Grosso;3907.2;24.35
2015;Dezembro;Mato Grosso;4275.4;23.54
2015;Janeiro;Alagoas;161.6;26.97
2015;Fevereiro;Alagoas;319.6;26.84
2015;Março;Alagoas;207.2;25.28
2015;Abril;Alagoas;150.0;25.97
2015;Maio;Alagoas;709.4;27.2
2015;Junho;Alagoas;1323.4;22.23
2015;Julho;Alagoas;1000.2;21.59
2015;Agosto;Alagoas;402.2;24.18
2015;Setembro;Alagoas;211.4;25.5
2015;Outubro;Alagoas;152.8;26.36
2015;Novembro;Alagoas;21.8;27.83
2015;Dezembro;Alagoas;276.0;27.6
2015;Janeiro;Bahia;1263.6;24.6
2015;Fevereiro;Bahia;4117.4;23.25
2015;Março;Bahia;1864.6;23.58
2015;Abril;Bahia;3759.0;22.27
2015;Maio;Bahia;2906.2;22.43
2015;Junho;Bahia;3960.0;20.97
2015;Julho;Bahia;2257.8;20.27
2015;Agosto;Bahia;1629.2;19.69
2015;Setembro;Bahia;373.0;23.52
2015;Outubro;Bahia;1105.8;25.74
2015;Novembro;Bahia;1580.4;26.75
2015;Dezembro;Bahia;758.4;26.67
2015;Janeiro;Ceará;504.0;24.85
2015;Fevereiro;Ceará;1497.4;23.05
2015;Março;Ceará;2734.0;23.65
2015;Abril;Ceará;1973.0;23.5
2015;Maio;Ceará;843.4;25.08
2015;Junho;Ceará;577.8;25.34
2015;Julho;Ceará;716.6;21.66
2015;Agosto;Ceará;35.6;24.96
2015;Setembro;Ceará;66.6;27.51
2015;Outubro;Ceará;19.0;26.43
2015;Novembro;Ceará;11.8;27.42
2015;Dezembro;Ceará;282.2;27.62
2015;Janeiro;Maranhão;1208.4;23.22
2015;Fevereiro;Maranhão;2273.4;22.8
2015;Março;Maranhão;3293.0;22.0
2015;Abril;Maranhão;2347.2;21.41
2015;Maio;Maranhão;1529.2;20.05
2015;Junho;Maranhão;469.2;21.41
2015;Julho;Maranhão;357.6;23.02
2015;Agosto;Maranhão;29.8;23.07
2015;Setembro;Maranhão;65.8;25.51
2015;Outubro;Maranhão;289.6;26.07
2015;Novembro;Maranhão;232.4;28.15
2015;Dezembro;Maranhão;489.2;23.88
2015;Janeiro;Paraíba;188.2;23.67
2015;Fevereiro;Paraíba;489.6;22.26
2015;Março;Paraíba;823.2;23.54
2015;Abril;Paraíba;303.8;22.48
2015;Maio;Paraíba;136.4;24.94
